,Index Name,ind_close_all_12032024.csv,ind_close_all_11032024.csv,ind_close_all_07032024.csv,ind_close_all_06032024.csv,ind_close_all_05032024.csv,ind_close_all_04032024.csv,ind_close_all_02032024.csv,ind_close_all_01032024.csv
0,Nifty 50,.01,-.72,.09,.53,-.22,.12,.18,1.62
1,Nifty Next 50,-1.55,-.02,.87,-.29,.06,.27,.47,.87
2,Nifty 100,-.24,-.61,.21,.38,-.19,.13,.23,1.49
3,Nifty 200,-.42,-.58,.21,.24,-.21,.14,.31,1.4
4,Nifty 500,-.58,-.71,.27,-.01,-.24,.05,.35,1.29
5,Nifty Midcap 50,-1.13,-.52,.23,-.52,-.48,.57,.57,1.11
6,NIFTY Midcap 100,-1.41,-.39,.22,-.52,-.27,.2,.74,.94
7,NIFTY Smallcap 100,-1.98,-1.99,.85,-1.96,-1.24,-.51,.69,.52
8,Nifty50 Dividend Points,-,-,-,-,-,-,-,-
9,Nifty Auto,-.33,-.59,-.26,.28,1.35,-.49,.34,2.25
10,Nifty Bank,-.1,-1.06,-.27,.81,.26,.34,.02,2.53
11,Nifty Energy,-.64,-1.11,-.37,-.48,.44,1.79,.12,2.24
12,Nifty Financial Services,.17,-.68,.09,.63,-.35,.38,.03,2.13
13,Nifty FMCG,-.83,-.59,.98,.42,-1.05,-.45,.44,.39
14,Nifty IT,.64,-.3,.27,.77,-1.59,-.77,.24,-.54
15,Nifty Media,-1.85,-2.91,2.54,-2.54,-1.37,-1.85,1.75,-1.47
16,Nifty Metal,-1.73,-1.44,1.38,-.52,-.22,-.23,1.58,3.62
17,Nifty MNC,-.57,-.06,.21,-.23,-.22,-.11,.1,.63
18,Nifty Pharma,-1.27,.04,.28,.64,.31,.29,.44,-.95
19,Nifty PSU Bank,-2.57,-1.58,.22,.04,2.56,.26,.57,2.18
20,Nifty Realty,-3.71,-1.09,-.15,-1.34,.31,.16,.96,.72
21,Nifty India Consumption,-.52,-.4,.6,.77,.01,-.35,.37,.79
22,Nifty Commodities,-1.16,-.78,.57,-.35,.22,.61,.46,2.62
23,Nifty Dividend Opportunities 50,-.69,-.78,.54,.03,-.26,.4,.48,1.1
24,Nifty Infrastructure,-.63,-.61,-.07,-.17,.19,.86,.24,1.96
25,Nifty PSE,-1.42,-.88,-.06,-.64,.65,2.38,.36,2.28
26,Nifty Services Sector,.26,-.66,.19,.63,-.34,.17,.1,1.2
27,Nifty50 Shariah,-.11,-.34,.57,.35,-.94,-.41,.44,.27
28,Nifty500 Shariah,-.82,-.53,.48,-.22,-.58,-.23,.54,.53
