,SYMBOL,NAME OF COMPANY,cm15MAY2024bhav.csv,cm14MAY2024bhav.csv,cm13MAY2024bhav.csv,cm10MAY2024bhav.csv,cm09MAY2024bhav.csv,cm08MAY2024bhav.csv,cm07MAY2024bhav.csv,cm06MAY2024bhav.csv,cm03MAY2024bhav.csv,cm02MAY2024bhav.csv
0,20MICRONS,20 Microns Limited,185.5,175.0,163.2,161.1,162.55,167.7,170.0,172.45,171.0,170.0
1,21STCENMGM,21st Century Management Services Limited,,,,,,,,,,
2,360ONE,360 ONE WAM LIMITED,756.1,755.0,764.0,748.3,735.0,742.0,750.35,765.7,793.5,773.0
3,3IINFOLTD,3i Infotech Limited,37.45,37.7,36.8,36.9,36.0,38.5,37.5,38.15,39.1,39.05
4,3MINDIA,3M India Limited,28648.0,28780.0,28880.0,28700.0,28770.0,29152.0,29451.0,29560.0,29598.2,29655.0
5,3PLAND,3P Land Holdings Limited,31.3,30.5,29.9,30.25,29.6,29.95,29.75,31.2,32.95,32.95
6,4THDIM,Fourth Dimension Solutions Limited,,,,,,,,,,
7,5PAISA,5Paisa Capital Limited,531.0,520.0,515.4,518.0,518.0,519.95,522.0,506.15,524.95,526.0
8,63MOONS,63 moons technologies limited,406.0,402.2,399.25,405.4,397.15,420.0,405.25,408.2,421.2,435.0
9,A2ZINFRA,A2Z Infra Engineering Limited,,,,,,,,,,
10,AAATECH,AAA Technologies Limited,,,,,,,,,,128.1
11,AAKASH,Aakash Exploration Services Limited,10.4,10.5,10.55,10.65,10.65,10.85,10.3,10.65,11.05,11.0
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,,,,,,,
13,AARON,Aaron Industries Limited,264.0,263.15,259.95,260.8,253.7,257.25,259.95,264.0,265.0,265.5
14,AARTIDRUGS,Aarti Drugs Limited,480.0,472.35,474.7,459.5,460.75,473.85,479.0,492.25,499.25,499.1
15,AARTIIND,Aarti Industries Limited,621.45,651.75,669.0,675.0,665.9,706.35,719.7,746.65,741.3,740.75
16,AARTIPHARM,Aarti Pharmalabs Limited,586.15,607.95,524.0,499.0,490.55,507.45,513.5,510.0,518.0,512.65
17,AARTISURF,Aarti Surfactants Limited,686.9,697.9,669.8,675.0,661.15,678.75,662.9,676.0,683.0,690.0
18,AARVEEDEN,Aarvee Denims & Exports Limited,25.85,25.8,25.1,26.1,25.45,27.0,27.3,26.5,26.8,27.15
19,AARVI,Aarvi Encon Limited,144.0,140.0,143.5,138.4,138.0,141.05,142.0,145.7,145.3,149.5
20,AAVAS,Aavas Financiers Limited,1580.0,1560.0,1580.0,1605.0,1564.1,1592.5,1600.05,1564.0,1586.35,1600.0
21,ABAN,Aban Offshore Limited,,,,,,,,,,
22,ABB,ABB India Limited,8064.0,8065.0,7998.95,7205.0,7040.0,7184.0,6875.0,6950.0,6700.0,6698.0
23,ABBOTINDIA,Abbott India Limited,26407.55,26770.0,27090.0,26375.0,25647.0,25930.0,25600.0,25774.95,26140.0,26650.0
24,ABCAPITAL,Aditya Birla Capital Limited,220.2,220.5,222.3,216.4,210.85,218.0,220.0,226.85,230.8,232.0
25,ABFRL,Aditya Birla Fashion and Retail Limited,262.95,258.0,254.1,259.0,247.4,252.3,254.4,250.95,254.8,263.95
26,ABMINTLLTD,ABM International Limited,65.0,64.1,67.0,63.55,66.4,68.55,65.3,61.65,65.0,63.2
27,ABSLAMC,Aditya Birla Sun Life AMC Limited,529.0,537.0,530.3,538.0,539.2,549.95,535.0,533.5,544.95,547.45
